* Exported with UsyTrace, available at https://usyless.uk/trace
* Freq(Hz)	SPL(dB)
20.000000	116.152998
20.290907	116.218871
20.586045	116.350494
20.885476	116.446620
21.189262	116.496076
21.497467	116.524017
21.810155	116.478576
22.127391	116.427021
22.449241	116.391833
22.775773	116.448769
23.107054	116.521971
23.443154	116.623167
23.784142	116.699054
24.130091	116.774942
24.481071	116.850830
24.837156	116.933747
25.198421	117.027876
25.564940	117.093930
25.936791	117.145762
26.314050	117.173951
26.696797	117.202550
27.085111	117.222884
27.479073	117.235169
27.878765	117.247634
28.284271	117.260279
28.695675	117.273109
29.113064	117.286125
29.536523	117.285709
29.966142	117.271822
30.402009	117.257732
30.844217	117.243438
31.292856	117.228935
31.748021	117.213335
32.209807	117.192987
32.678309	117.172344
33.153626	117.151400
33.635857	117.130696
34.125101	117.110252
34.621462	117.089510
35.125043	117.068466
35.635949	117.046312
36.154286	117.023661
36.680162	117.000681
37.213687	116.977901
37.754973	116.955360
38.304131	116.932491
38.861278	116.909453
39.426528	116.887022
40.000000	116.864264
40.581813	116.841176
41.172089	116.810684
41.770951	116.778095
42.378524	116.724871
42.994934	116.671551
43.620309	116.643242
44.254781	116.614522
44.898482	116.586272
45.551545	116.557828
46.214108	116.525284
46.886308	116.468396
47.568285	116.420719
48.260181	116.373530
48.962142	116.316645
49.674312	116.268926
50.396842	116.223230
51.129881	116.177834
51.873582	116.127042
52.628101	116.071436
53.393594	116.026042
54.170222	115.980490
54.958146	115.934878
55.757531	115.880465
56.568542	115.828696
57.391351	115.783087
58.226127	115.737679
59.073046	115.691977
59.932283	115.646590
60.804018	115.601033
61.688433	115.555428
62.585712	115.501118
63.496042	115.444186
64.419613	115.388389
65.356618	115.343006
66.307252	115.297446
67.271713	115.251846
68.250203	115.197614
69.242925	115.145653
70.250086	115.100055
71.271897	115.054639
72.308571	115.008930
73.360323	114.963554
74.427374	114.913084
75.509945	114.856057
76.608262	114.799201
77.722555	114.751054
78.853056	114.705342
80.000000	114.659970
81.163627	114.609578
82.344179	114.553548
83.541903	114.508178
84.757048	114.462610
85.989867	114.417022
87.240619	114.363010
88.509563	114.310816
89.796964	114.265231
91.103091	114.211258
92.428216	114.130795
93.772615	114.045237
95.136569	113.997710
96.520362	113.959634
97.924283	113.925861
99.348625	113.893304
100.793684	113.850812
102.259762	113.793778
103.747164	113.736943
105.256202	113.680092
106.787188	113.623149
108.340444	113.566114
109.916292	113.509283
111.515061	113.452431
113.137085	113.395486
114.782702	113.338450
116.452255	113.281622
118.146092	113.224769
119.864566	113.167823
121.608036	113.110786
123.376866	113.053962
125.171424	112.997107
126.992084	112.940160
128.839227	112.883121
130.713236	112.826302
132.614504	112.769445
134.543426	112.712497
136.500406	112.655457
138.485850	112.598641
140.500173	112.541784
142.543795	112.484834
144.617142	112.427793
146.720647	112.370981
148.854748	112.314122
151.019890	112.257171
153.216525	112.200128
155.445111	112.143320
157.706112	112.086460
160.000000	112.029508
162.327254	111.972464
164.688358	111.915660
167.083805	111.858798
169.514095	111.801845
171.979734	111.744800
174.481237	111.687999
177.019125	111.631137
179.593928	111.574182
182.206182	111.517135
184.856431	111.460339
187.545230	111.403475
190.273138	111.346519
193.040725	111.289682
195.848567	111.244358
198.697250	111.188109
201.587368	111.112222
204.519524	111.036334
207.494329	110.975507
210.512403	110.943136
213.574377	110.910347
216.680888	110.882228
219.832584	110.853699
223.030122	110.821892
226.274170	110.784037
229.565404	110.746004
232.904509	110.708151
236.292183	110.670116
239.729132	110.632264
243.216073	110.591691
246.753732	110.546159
250.342848	110.505769
253.984168	110.467737
257.678453	110.429881
261.426473	110.391850
265.229008	110.353994
269.086853	110.315964
273.000811	110.278106
276.971700	110.240077
281.000346	110.202218
285.087590	110.164191
289.234284	110.121350
293.441294	110.075608
297.709496	110.019002
302.039780	109.949744
306.433050	109.893634
310.890221	109.847895
315.412224	109.891364
320.000000	109.912969
324.654507	109.880614
329.376716	109.847789
334.167610	109.822661
339.028190	109.797377
343.959469	109.771725
348.962474	109.746773
354.038251	109.721490
359.187855	109.695839
364.412363	109.670885
369.712863	109.645603
375.090460	109.619954
380.546277	109.582712
386.081450	109.544514
391.697134	109.488441
397.394500	109.431560
403.174736	109.396514
409.039048	109.415155
414.988657	109.434067
421.024807	109.453254
427.148753	109.464616
433.361775	109.455949
439.665167	109.447156
446.060244	109.438235
452.548340	109.429185
459.130807	109.420002
465.809019	109.410686
472.584367	109.401235
479.458265	109.391646
486.432146	109.383602
493.507464	109.375540
500.685695	109.367361
507.968337	109.359063
515.356906	109.350644
522.852945	109.342103
530.458016	109.333438
538.173706	109.324646
546.001623	109.315727
553.943399	109.301371
562.000691	109.286429
570.175180	109.271269
578.468569	109.255890
586.882588	109.240286
595.418991	109.197116
604.079560	109.174888
612.866100	109.220371
621.780442	109.250099
630.824447	109.268820
640.000000	109.287814
649.309014	109.307084
658.753431	109.320405
668.335221	109.329494
678.056380	109.338716
687.918938	109.348072
697.924949	109.357564
708.076501	109.367194
718.375711	109.376964
728.824726	109.386876
739.425726	109.396077
750.180921	109.404780
761.092554	109.413610
772.162900	109.422568
783.394268	109.431657
794.789000	109.440878
806.349472	109.450233
818.078095	109.459724
829.977315	109.469387
842.049613	109.479301
854.297507	109.489359
866.723550	109.499563
879.330334	109.509916
892.120489	109.520420
905.096680	109.531076
918.261614	109.541887
931.618037	109.524972
945.168733	109.504410
958.916529	109.483548
972.864291	109.483767
987.014928	109.559655
1001.371391	109.643853
1015.936673	109.736713
1030.713812	109.795837
1045.705890	109.841511
1060.916032	109.896973
1076.347412	109.953876
1092.003245	110.010871
1107.886798	110.067822
1124.001383	110.124634
1140.350359	110.166059
