* Freq(Hz)	SPL(dB)
20	110.165
21.2	111.048
22.4	111.165
23.6	111.267
25	111.354
26.5	111.421
28	111.471
30	111.506
31.5	111.508
33.5	111.500
35.5	111.466
37.5	111.420
40	111.346
42.5	111.251
45	111.145
47.5	111.025
50	110.898
53	110.739
56	110.570
60	110.347
63	110.161
67	109.934
71	109.693
75	109.460
80	109.178
85	108.900
90	108.635
95	108.389
100	108.151
106	107.907
112	107.680
118	107.483
125	107.256
132	106.996
140	106.829
150	106.645
160	106.482
170	106.361
180	106.263
190	106.200
200	106.134
212	106.078
224	106.034
236	105.995
250	105.962
265	105.931
280	105.903
300	105.865
315	105.843
335	105.803
355	105.767
375	105.725
400	105.675
425	105.639
450	105.591
475	105.531
500	105.469
530	105.406
560	105.349
600	105.261
630	105.186
670	105.171
710	105.215
750	105.180
800	105.180
850	105.237
900	105.337
950	105.493
1000	105.710
1060	106.006
1120	106.267
1180	106.570
1250	106.897
1320	107.172
1400	107.426
1500	107.698
1600	107.962
1700	108.238
1800	108.526
1900	108.881
2000	109.273
2120	109.820
2240	110.419
2360	110.974
2500	111.553
2650	112.174
2800	112.711
3000	113.047
3150	112.919
3350	112.308
3550	111.456
3750	110.618
4000	109.698
4250	109.015
4500	108.540
4750	108.309
5000	108.240
5300	108.164
5600	107.823
6000	106.400
6300	104.484
6700	101.668
7100	99.695
7500	98.821
8000	98.798
8500	99.922
9000	102.376
9500	106.014
10000	108.728
10600	108.641
11200	108.348
11800	107.405
12500	104.257
13200	102.146
14000	99.556
15000	96.151
16000	94.463
17000	92.641
18000	94.544
19000	91.584
20000	89.572
